"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"Italy (IT)","13.01.2022 01:00 - 13.01.2022 02:00 (CET/CEST)","1441"
"Italy (IT)","13.01.2022 02:00 - 13.01.2022 03:00 (CET/CEST)","1289"
"Italy (IT)","13.01.2022 03:00 - 13.01.2022 04:00 (CET/CEST)","1296"
"Italy (IT)","13.01.2022 04:00 - 13.01.2022 05:00 (CET/CEST)","1313"
"Italy (IT)","13.01.2022 05:00 - 13.01.2022 06:00 (CET/CEST)","1333"
"Italy (IT)","13.01.2022 06:00 - 13.01.2022 07:00 (CET/CEST)","1907"
"Italy (IT)","13.01.2022 07:00 - 13.01.2022 08:00 (CET/CEST)","2938"
"Italy (IT)","13.01.2022 08:00 - 13.01.2022 09:00 (CET/CEST)","3734"
"Italy (IT)","13.01.2022 09:00 - 13.01.2022 10:00 (CET/CEST)","3746"
"Italy (IT)","13.01.2022 10:00 - 13.01.2022 11:00 (CET/CEST)","3181"
"Italy (IT)","13.01.2022 11:00 - 13.01.2022 12:00 (CET/CEST)","2539"
"Italy (IT)","13.01.2022 12:00 - 13.01.2022 13:00 (CET/CEST)","1921"
