"Area","MTU","Hydro Run-of-river and poundage  - Actual Aggregated [MW]"
"France (FR)","09.01.2020 10:00 - 09.01.2020 11:00 (CET/CEST)","6090"
"France (FR)","09.01.2020 11:00 - 09.01.2020 12:00 (CET/CEST)","5759"
"France (FR)","09.01.2020 12:00 - 09.01.2020 13:00 (CET/CEST)","5241"
"France (FR)","09.01.2020 13:00 - 09.01.2020 14:00 (CET/CEST)","4966"
"France (FR)","09.01.2020 14:00 - 09.01.2020 15:00 (CET/CEST)","4865"
"France (FR)","09.01.2020 15:00 - 09.01.2020 16:00 (CET/CEST)","4969"
"France (FR)","09.01.2020 16:00 - 09.01.2020 17:00 (CET/CEST)","5091"
"France (FR)","09.01.2020 17:00 - 09.01.2020 18:00 (CET/CEST)","5325"
"France (FR)","09.01.2020 18:00 - 09.01.2020 19:00 (CET/CEST)","5778"
"France (FR)","09.01.2020 19:00 - 09.01.2020 20:00 (CET/CEST)","6035"
"France (FR)","09.01.2020 20:00 - 09.01.2020 21:00 (CET/CEST)","5746"
"France (FR)","09.01.2020 21:00 - 09.01.2020 22:00 (CET/CEST)","5325"
"France (FR)","09.01.2020 22:00 - 09.01.2020 23:00 (CET/CEST)","5126"
"France (FR)","09.01.2020 23:00 - 10.01.2020 00:00 (CET/CEST)","4794"
"France (FR)","10.01.2020 00:00 - 10.01.2020 01:00 (CET/CEST)","4439"
"France (FR)","10.01.2020 01:00 - 10.01.2020 02:00 (CET/CEST)","4079"
"France (FR)","10.01.2020 02:00 - 10.01.2020 03:00 (CET/CEST)","3780"
"France (FR)","10.01.2020 03:00 - 10.01.2020 04:00 (CET/CEST)","3611"
"France (FR)","10.01.2020 04:00 - 10.01.2020 05:00 (CET/CEST)","3592"
"France (FR)","10.01.2020 05:00 - 10.01.2020 06:00 (CET/CEST)","3669"
"France (FR)","10.01.2020 06:00 - 10.01.2020 07:00 (CET/CEST)","4052"
"France (FR)","10.01.2020 07:00 - 10.01.2020 08:00 (CET/CEST)","4566"
"France (FR)","10.01.2020 08:00 - 10.01.2020 09:00 (CET/CEST)","5207"
"France (FR)","10.01.2020 09:00 - 10.01.2020 10:00 (CET/CEST)","5644"
"France (FR)","10.01.2020 10:00 - 10.01.2020 11:00 (CET/CEST)","5581"
"France (FR)","10.01.2020 11:00 - 10.01.2020 12:00 (CET/CEST)","5543"
"France (FR)","10.01.2020 12:00 - 10.01.2020 13:00 (CET/CEST)","5308"
"France (FR)","10.01.2020 13:00 - 10.01.2020 14:00 (CET/CEST)","5206"
"France (FR)","10.01.2020 14:00 - 10.01.2020 15:00 (CET/CEST)","5132"
"France (FR)","10.01.2020 15:00 - 10.01.2020 16:00 (CET/CEST)","5095"
"France (FR)","10.01.2020 16:00 - 10.01.2020 17:00 (CET/CEST)","5177"
"France (FR)","10.01.2020 17:00 - 10.01.2020 18:00 (CET/CEST)","5639"
